Food,Calories,Protein,Carbs,Fat
Pizza,266,11,33,10
Burger,295,17,30,13
Apple,52,0.3,14,0.2
Banana,89,1.1,23,0.3
Rice,130,2.7,28,0.3
Paneer,265,18,4,20
Dosa,168,4,30,3
Idli,58,2,12,0.4
